"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1996-08-27",1.0159,112,59643,NA,0.44
"1996-08-28",1.0161,112,59643,NA,0.44
"1996-08-29",1.0167,112,59643,NA,0.44
"1996-08-30",1.0169,112,59643,NA,0.44
"1996-09-02",1.0165,112,59643,NA,0.44
"1996-09-03",1.0167,112,59643,NA,0.44
"1996-09-04",1.0172,112,59643,NA,0.44
"1996-09-05",1.0174,112,59643,NA,0.44
"1996-09-06",1.0179,112,59643,NA,0.44
"1996-09-09",1.019,112,59643,NA,0.44
"1996-09-10",1.0202,112,59643,NA,0.44
"1996-09-11",1.0188,112,59643,NA,0.44
"1996-09-12",1.0197,112,59643,NA,0.44
"1996-09-13",1.02,112,59643,NA,0.44
"1996-09-16",1.0192,112,59643,NA,0.44
"1996-09-17",1.0195,112,59643,NA,0.44
"1996-09-18",1.0196,112,59643,NA,0.44
"1996-09-19",1.0196,112,59643,NA,0.44
"1996-09-20",1.0199,112,59643,NA,0.44
"1996-09-23",1.0202,112,59643,NA,0.44
"1996-09-24",1.0202,112,59643,NA,0.44
"1996-09-25",1.0205,112,59643,NA,0.44
